book_id,genre,name,author
554,Law,A Terrible Revenge: The Ethnic Cleansing of the East European Germans,Alfred-Maurice de Zayas
3694,Science & Math,Plastics: America's Packaging Dilemma (Island Press Critical Issues Series),Ellen Feldman
3086,"Health, Fitness & Dieting",Microbiologically Safe Foods,Jose Santos Garcia
2723,Self-Help,Life Reimagined: Discovering Your New Life Possibilities,Richard J. Leider
3075,Children's Books,It's St. Patrick's Day (Turtleback School & Library Binding Edition) (Scholastic Reader: Level 1 (Pb)),Rebecca Gomez
4324,Science Fiction & Fantasy,Strands of Sorrow (Black Tide Rising),John Ringo
119,Politics & Social Sciences,Analytic Philosophy,John-Michael Kuczynski
2640,"Crafts, Hobbies & Home","The Modern Coral Reef Aquarium, Volume 2 (v. 2)",Svein A. Fossa
93,Biographies & Memoirs,Promises Kept: The Life of an Issei Man,Akemi Kikumura-Yano
1337,Teen & Young Adult,Vocabulary for the College Bound Student,Harold Levine
448,Travel,Hunting the Rockies: Home of the Giants,Kirt I. Darner
4031,Business & Money,The Slums of Aspen: Immigrants vs. the Environment in America's Eden (Nation of Nations),Lisa  Sun-Hee Park
687,Science & Math,"Disaster Law and Policy, Second Edition (Aspen Elective)",Daniel A. Farber
2840,Computers & Technology,"Mobile & Social Game Design: Monetization Methods and Mechanics, Second Edition",Tim Fields
2709,Children's Books,"Ready, Freddy! #22: Science Fair Flop",Abby Klein
4365,Test Preparation,HSPT Flashcard Study System: HSPT Exam Practice Questions & Review for the High School Placement Test (Cards),HSPT Exam Secrets Test Prep Team
2181,Christian Books & Bibles,"On the Backroad to Heaven: Old Order Hutterites, Mennonites, Amish, and Brethren (Center Books in Anabaptist Studies)",Donald B. Kraybill
4758,Religion & Spirituality,Spiritual Astrology: A Path to Divine Awakening,Jan Spiller
107,Medical Books,"Passing on Bypass Using External CounterPulsation : An FDA Cleared Alternative to Treat Heart Disease Without Surgery, Drugs or Angioplasty. SECOND EDITION",George J. Juetersonke
1963,"Health, Fitness & Dieting",Walking the Walk (w/DVD): Getting Fit with Faith,Leslie Sansone
1186,Travel,New Jersey Puzzle Book (Which Way USA?),Andrew Gutelle
433,Literature & Fiction,The Best American Essays of the Century (The Best American Series),
2276,Parenting & Relationships,God Made All of Me: A Book to Help Children Protect Their Bodies,Justin S. Holcomb
3142,"Crafts, Hobbies & Home","Classic baseball cards: The golden years, 1886-1956",Frank Slocum
686,Calendars,Garfield 2016 Day-to-Day Calendar,Jim Davis
2441,Children's Books,Beyond Courage: The Untold Story of Jewish Resistance During the Holocaust,Doreen Rappaport
3549,Science & Math,The Scientist as Rebel (New York Review Books),Freeman Dyson
2307,Arts & Photography,The Life and Love of Dogs,Lewis Blackwell
690,Humor & Entertainment,Fish Tales: Stories & Recipes from Sustainable Fisheries Around the World,Tom Kime
3329,"Health, Fitness & Dieting",Health: The Basics (11th Edition),Rebecca J. Donatelle
1545,"Cookbooks, Food & Wine",Unprocessed: How to achieve vibrant health and your ideal weight.,Chef AJ
2295,History,U.S. Army Special Forces Guide to Unconventional Warfare: Devices and Techniques for Incendiaries,Army
4115,Christian Books & Bibles,"Most Important Year in a Woman's Life, The/The Most Important Year in a Man's Life",Robert Wolgemuth
