book_id,name,description
3035,"Chickens, Mules and Two Old Fools: Tuck into a Slice of Andalucían Life (Old Fools, #1) ","Perhaps if Joe and Vicky had known what relocating to a tiny village, tucked in the Alpujarra mountains, would really be like, they might have hesitated... They have no idea of the culture shock in store. No idea they will become reluctant chicken farmers and own the most dangerous cockerel in Spain. No idea they will be befriended by an 85 year old spliff-smoking sex-kitten or rescued by a mule. Life is never dull as they embark on their Five Year Plan. At the end of five years they must decide. Will they stay, or return to the relative sanity of England? Vicky and Joe's story is packed with irreverent humour, animals, eccentric characters and sunshine. 'Chickens, Mules and Two Old Fools' was awarded the HarperCollins Authonomy 'Gold Star' in November 2008. 'laugh-out-loud funny...especially the Spanish women heckling over eggs from the The English...hilarious...engaging...the interspersion of recipes is charming' HarperCollins 'This is wonderful. I have tears in my eyes...the humour, the warmth, the joy...I love this book...the two of you sitting on the sofa in that dusty street listening to Spanish tunes on the crackly radio. What a sight you must have been...' Aleck Loker, author of 18 books including 'Ancient Explorers of America'. 'I love the relaxed writing style and easy humour of this. Great stuff!' Denny Gillan, author of 'Will You Love Me Tomorrow'. 'Victoria Twead is a natural storyteller with a knack for charm and wit.' Robin Bayley, author of 'The Mango Orchard'."
99,"Persepolis: The Story of a Childhood (Persepolis, #1) ","Wise, funny, and heartbreaking, Persepolis is Marjane Satrapi’s memoir of growing up in Iran during the Islamic Revolution. In powerful black-and-white comic strip images, Satrapi tells the story of her life in Tehran from ages six to fourteen, years that saw the overthrow of the Shah’s regime, the triumph of the Islamic Revolution, and the devastating effects of war with Iraq. The intelligent and outspoken only child of committed Marxists and the great-granddaughter of one of Iran’s last emperors, Marjane bears witness to a childhood uniquely entwined with the history of her country.

Persepolis paints an unforgettable portrait of daily life in Iran and of the bewildering contradictions between home life and public life. Marjane’s child’s-eye view of dethroned emperors, state-sanctioned whippings, and heroes of the revolution allows us to learn as she does the history of this fascinating country and of her own extraordinary family. Intensely personal, profoundly political, and wholly original, Persepolis is at once a story of growing up and a reminder of the human cost of war and political repression. It shows how we carry on, with laughter and tears, in the face of absurdity. And, finally, it introduces us to an irresistible little girl with whom we cannot help but fall in love."
3594,The Autobiography of Malcolm X ,"Through a life of passion and struggle, Malcolm X became one of the most influential figures of the 20th Century. In this riveting account, he tells of his journey from a prison cell to Mecca, describing his transition from hoodlum to Muslim minister. Here, the man who called himself ""the angriest Black man in America"" relates how his conversion to true Islam helped him confront his rage and recognize the brotherhood of all mankind. 
An established classic of modern America, ""The Autobiography of Malcolm X"" was hailed by the New York Times as ""Extraordinary. A brilliant, painful, important book."" Still extraordinary, still important, this electrifying story has transformed Malcom X's life into his legacy. The strength of his words, the power of his ideas continue to resonate more than a generation after they first appeared. "
4971,The Hiding Place: The Triumphant True Story of Corrie Ten Boom,"At one time Corrie ten Boom would have laughed at the idea that there would ever be a story to tell. For the first fifty years of her life nothing at all out of the ordinary had ever happened to her. She was an old-maid watchmaker living contentedly with her spinster sister and their elderly father in the tiny Dutch house over their shop. Their uneventful days, as regulated as their own watches, revolved around their abiding love for one another. However, with the Nazi invasion and occupation of Holland, a story did ensue. 

Corrie ten Boom and her family became leaders in the Dutch Underground, hiding Jewish people in their home in a specially built room and aiding their escape from the Nazis. For their help, all but Corrie found death in a concentration camp. The Hiding Place is their story."
1381,All Creatures Great and Small ,"Delve into the magical, unforgettable world of James Herriot, the world's most beloved veterinarian, and his menagerie of heartwarming, funny, and tragic animal patients.

For over forty years, generations of readers have thrilled to Herriot's marvelous tales, deep love of life, and extraordinary storytelling abilities. For decades, Herriot roamed the remote, beautiful Yorkshire Dales, treating every patient that came his way from smallest to largest, and observing animals and humans alike with his keen, loving eye.

In All Creatures Great and Small, we meet the young Herriot as he takes up his calling and discovers that the realities of veterinary practice in rural Yorkshire are very different from the sterile setting of veterinary school. Some visits are heart-wrenchingly difficult, such as one to an old man in the village whose very ill dog is his only friend and companion, some are lighthearted and fun, such as Herriot's periodic visits to the overfed and pampered Pekinese Tricki Woo who throws parties and has his own stationery, and yet others are inspirational and enlightening, such as Herriot's recollections of poor farmers who will scrape their meager earnings together to be able to get proper care for their working animals. From seeing to his patients in the depths of winter on the remotest homesteads to dealing with uncooperative owners and critically ill animals, Herriot discovers the wondrous variety and never-ending challenges of veterinary practice as his humor, compassion, and love of the animal world shine forth."
3099,Confessions ,"Augustine's Confessions is one of the most influential and most innovative works of Latin literature. Written in the author's early forties in the last years of the fourth century A.D. and during his first years as a bishop, they reflect on his life and on the activity of remembering and interpreting a life. Books I-IV are concerned with infancy and learning to talk, schooldays, sexual desire and adolescent rebellion, intense friendships and intellectual exploration. Augustine evolves and analyses his past with all the resources of the reading which shaped his mind: Virgil and Cicero, Neoplatonism and the Bible. This volume, which aims to be usable by students who are new to Augustine, alerts readers to the verbal echoes and allusions of Augustine's brilliant and varied Latin, and explains his theological and philosophical questioning of what God is and what it is to be human. The edition is intended for use by students and scholars of Latin literature, theology and Church history."
45,Me Talk Pretty One Day ,"David Sedaris' move to Paris from New York inspired these hilarious pieces, including the title essay, about his attempts to learn French from a sadistic teacher who declares that every day spent with you is like having a caesarean section. His family is another inspiration. You Can't Kill the Rooster is a portrait of his brother, who talks incessant hip-hop slang to his bewildered father. And no one hones a finer fury in response to such modern annoyances as restaurant meals presented in ludicrous towers of food and cashiers with six-inch fingernails."
3269,Marley and Me: Life and Love With the World's Worst Dog,"John and Jenny were just beginning their life together. They were young and in love, with a perfect little house and not a care in the world. Then they brought home Marley, a wiggly yellow furball of a puppy. Life would never be the same.

Marley quickly grew into a barreling, ninety-seven-pound streamroller of a Labrador retriever, a dog like no other. He crashed through screen doors, gouged through drywall, flung drool on guests, stole women's undergarments, and ate nearly everything he could get his mouth around, including couches and fine jewelry. Obedience school did no good—Marley was expelled. Neither did the tranquilizers the veterinarian prescribed for him with the admonishment, ""Don't hesitate to use these.""

And yet Marley's heart was pure. Just as he joyfully refused any limits on his behavior, his love and loyalty were boundless, too. Marley shared the couple's joy at their first pregnancy, and their heartbreak over the miscarriage. He was there when babies finally arrived and when the screams of a seventeen-year-old stabbing victim pierced the night. Marley shut down a public beach and managed to land a role in a feature-length movie, always winning hearts as he made a mess of things. Through it all, he remained steadfast, a model of devotion, even when his family was at its wit's end. Unconditional love, they would learn, comes in many forms."
2786,John Adams ,"The enthralling, often surprising story of John Adams, one of the most important and fascinating Americans who ever lived.

In this powerful, epic biography, David McCullough unfolds the adventurous life-journey of John Adams, the brilliant, fiercely independent, often irascible, always honest Yankee patriot -- ""the colossus of independence,"" as Thomas Jefferson called him -- who spared nothing in his zeal for the American Revolution; who rose to become the second President of the United States and saved the country from blundering into an unnecessary war; who was learned beyond all but a few and regarded by some as ""out of his senses""; and whose marriage to the wise and valiant Abigail Adams is one of the moving love stories in American history. "
4484,Man's Search for Meaning ,"Psychiatrist Viktor Frankl's memoir has riveted generations of readers with its descriptions of life in Nazi death camps and its lessons for spiritual survival. Between 1942 and 1945 Frankl labored in four different camps, including Auschwitz, while his parents, brother, and pregnant wife perished. Based on his own experience and the experiences of others he treated later in his practice, Frankl argues that we cannot avoid suffering but we can choose how to cope with it, find meaning in it, and move forward with renewed purpose. Frankl's theory-known as logotherapy, from the Greek word logos (""meaning"")-holds that our primary drive in life is not pleasure, as Freud maintained, but the discovery and pursuit of what we personally find meaningful.

At the time of Frankl's death in 1997, Man's Search for Meaning had sold more than 10 million copies in twenty-four languages. A 1991 reader survey for the Library of Congress that asked readers to name a ""book that made a difference in your life"" found Man's Search for Meaning among the ten most influential books in America."
3042,"Maus I: A Survivor's Tale: My Father Bleeds History (Maus, #1) ","A story of a Jewish survivor of Hitler's Europe and his son, a cartoonist who tries to come to terms with his father's story and history itself."
2865,Wild Swans: Three Daughters of China ,"The story of three generations in twentieth-century China that blends the intimacy of memoir and the panoramic sweep of eyewitness history—a bestselling classic in thirty languages with more than ten million copies sold around the world, now with a new introduction from the author.

An engrossing record of Mao’s impact on China, an unusual window on the female experience in the modern world, and an inspiring tale of courage and love, Jung Chang describes the extraordinary lives and experiences of her family members: her grandmother, a warlord’s concubine; her mother’s struggles as a young idealistic Communist; and her parents’ experience as members of the Communist elite and their ordeal during the Cultural Revolution. Chang was a Red Guard briefly at the age of fourteen, then worked as a peasant, a “barefoot doctor,” a steelworker, and an electrician. As the story of each generation unfolds, Chang captures in gripping, moving—and ultimately uplifting—detail the cycles of violent drama visited on her own family and millions of others caught in the whirlwind of history."
1061,A Long Way Gone: Memoirs of a Boy Soldier ,"The devastating story of war through the eyes of a child soldier. Beah tells how, at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and became a soldier.

My new friends have begun to suspect I haven’t told them the full story of my life.
“Why did you leave Sierra Leone?” “Because there is a war.” “You mean, you saw people running around with guns and shooting each other?” “Yes, all the time.” “Cool.” I smile a little. “You should tell us about it sometime.” “Yes, sometime.” 

This is how wars are fought now: by children, hopped-up on drugs and wielding AK-47s. Children have become soldiers of choice. In the more than fifty conflicts going on worldwide, it is estimated that there are some 300,000 child soldiers. Ishmael Beah used to be one of them. 

What is war like through the eyes of a child soldier? How does one become a killer? How does one stop? Child soldiers have been profiled by journalists, and novelists have struggled to imagine their lives. But until now, there has not been a first-person account from someone who came through this hell and survived.

In A Long Way Gone, Beah, now twenty-five years old, tells a riveting story: how at the age of twelve, he fled attacking rebels and wandered a land rendered unrecognizable by violence. By thirteen, he’d been picked up by the government army, and Beah, at heart a gentle boy, found that he was capable of truly terrible acts. 

This is a rare and mesmerizing account, told with real literary force and heartbreaking honesty."
883,Confessions,
847,The Last Lecture,"Based on the extraordinary final lecture by Carnegie Mellon University professor Randy Pausch, given after he discovered he had pancreatic cancer, this moving book goes beyond the now-famous lecture to inspire readers to live each day with purpose and joy. Photos of Randy and his family and friends are included."
84,Martin Heidegger: Between Good and Evil,"One of the century's greatest philosophers, without whom there would be no Sartre, no Foucault, no Frankfurt School, Martin Heidegger was also a man of great failures and flaws, a Faustus who made a pact with the devil of his time, Adolf Hitler. The story of Heidegger's life and philosophy, a quintessentially German story in which good and evil, brilliance and blindness are inextricably entwined and the passions and disasters of a whole century come into play, is told in this brilliant biography.

Heidegger grew up in Catholic Germany where, for a chance at pursuing a life of learning, he pledged himself to the priesthood. Soon he turned apostate and sought a university position, which set him on the path to becoming the star of German philosophy in the 1920s. RUdiger Safranski chronicles Heidegger's rise along with the thought he honed on the way, with its debt to Heraclitus, Plato, and Kant, and its tragic susceptibility to the conservatism that emerged out of the nightmare of Germany's loss in World War I. A chronicle of ideas and of personal commitments and betrayals, Safranski's biography combines clear accounts of the philosophy that won Heidegger eternal renown with the fascinating details of the loves and lapses that tripped up this powerful intellectual.

The best intellectual biography of Heidegger ever written and a best-seller in Germany, Martin Heidegger: Between Good and Evil does not shy away from full coverage of Heidegger's shameful transformation into a propagandist for the National Socialist regime; nor does it allow this aspect of his career to obscure his accomplishments. Written by a master of Heidegger's philosophy, the book is one of the best introductions to the thought and to the life and times of the greatest German philosopher of the century."
4222,Infidel ,"One of today’s most admired and controversial political figures, Ayaan Hirsi Ali burst into international headlines following the murder of Theo van Gogh by an Islamist who threatened that she would be next. She made headlines again when she was stripped of her citizenship and resigned from the Dutch Parliament.

Infidel shows the coming of age of this distinguished political superstar and champion of free speech as well as the development of her beliefs, iron will, and extraordinary determination to fight injustice. Raised in a strict Muslim family, Hirsi Ali survived civil war, female mutilation, brutal beatings, adolescence as a devout believer during the rise of the Muslim Brotherhood, and life in four troubled, unstable countries ruled largely by despots. She escaped from a forced marriage and sought asylum in the Netherlands, where she earned a college degree in political science, tried to help her tragically depressed sister adjust to the West, and fought for the rights of Muslim women and the reform of Islam as a member of Parliament. Under constant threat, demonized by reactionary Islamists and politicians, disowned by her father, and expelled from family and clan, she refuses to be silenced.

Ultimately a celebration of triumph over adversity, Hirsi Ali’s story tells how a bright little girl evolves out of dutiful obedience to become an outspoken, pioneering freedom fighter. As Western governments struggle to balance democratic ideals with religious pressures, no other book could be more timely or more significant."
4414,Bossypants ,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.

She has seen both these dreams come true.

At last, Tina Fey's story can be told. From her youthful days as a vicious nerd to her tour of duty on Saturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon—from the beginning of this paragraph to this final sentence.

Tina Fey reveals all, and proves what we've all suspected: you're no one until someone calls you bossy."
239,Wild: From Lost to Found on the Pacific Crest Trail ,"At twenty-two, Cheryl Strayed thought she had lost everything. In the wake of her mother’s death, her family scattered and her own marriage was soon destroyed. Four years later, with nothing more to lose, she made the most impulsive decision of her life. With no experience or training, driven only by blind will, she would hike more than a thousand miles of the Pacific Crest Trail from the Mojave Desert through California and Oregon to Washington State — and she would do it alone.
Told with suspense and style, sparkling with warmth and humor, Wild powerfully captures the terrors and pleasures of one young woman forging ahead against all odds on a journey that maddened, strengthened, and ultimately healed her."
1964,The Diary of a Young Girl ,"Anne Frank's extraordinary diary, written in the Amsterdam attic where she and her family hid from the Nazis for two years, has become a world classic and a timeless testament to the human spirit. Now, in a new edition enriched by many passages originally withheld by her father, we meet an Anne more real, more human, and more vital than ever. Here she is first and foremost a teenage girl—stubbornly honest, touchingly vulnerable, in love with life. She imparts her deeply secret world of soul-searching and hungering for affection, rebellious clashes with her mother, romance and newly discovered sexuality, and wry, candid observations of her companions. Facing hunger, fear of discovery and death, and the petty frustrations of such confined quarters, Anne writes with adult wisdom and views beyond her years. Her story is that of every teenager, lived out in conditions few teenagers have ever known."
3571,Oral and Maxillofacial Surgery: 7-Volume Set ,"This is a comprehensive and definitive resource on oral and maxillofacial surgery. More than 300 authorities examine the full scope of the field including orthognathic surgery, trauma surgery, surgical pathology, cosmetic surgery, and reconstructive surgery."
1847,"Barron's GRE, 21st Edition","This edition of Barron's GRE manual reflects recent Graduate Record Exams and presents six full-length model exams with all questions answered and explained. Tests are similar to recent actual GREs in length, question types, and degree of difficulty. The manual also reviews all GRE test topics: antonym, analogy, and sentence-completion questions, reading comprehension, analytical writing, quantitative comparison questions, data interpretation, and math."
1334,George Balanchine: The Ballet Maker (Eminent Lives),"Written by the gifted author, editor, and dance critic Robert Gottlieb, George Balanchine describes the life and art of the celebrated, revolutionary ballet choreographer. Here is a necessary and singular look at the life of one of the great figures of the 20th Century: the dynamic Balanchine, founder of The New York City Ballet, collaborator of Stravinsky, and inspiration to countless fans over the course of his long and storied career. George Balanchine is another engaging entry in the HarperCollins’ “Eminent Lives” series of biographies by distinguished authors on canonical figures."
4885,"A Partner in Holiness: Deepening Mindfulness, Practicing Compassion and Enriching Our Lives Through the Wisdom of R. Levi Yitzhak of Berdichev's, Vol. 2  (Institute for Jewish Spirituality)","""The lessons in Kedushat Levi were not originally intended as intellectual curiosities or as demonstrations of R. Levi Yitzhak's brilliance. They were meant to inspire religious passion and deeper spiritual practice. I believe that these teachings will come to life in us when we bring them into our lives in practice.""

—from the Introduction

The soul yearns to feel connected to something greater and to know happiness despite personal suffering and seemingly endless need. Surprisingly, the perspectives of the late eighteenth- and nineteenth-century Hasidic spiritual teachers offer a radically different Jewish theology that speaks directly to today’s spiritual seekers whose faith has been shattered by both modernity and the Holocaust. These masters taught of interdependence, interconnectedness, selflessness, service and joy, anticipating the insights of contemporary science and twenty-first-century spirituality.

Bringing together the teachings of beloved Hasidic master Rabbi Levi Yitzhak of Berdichev (1740–1809) and the practice of mindfulness meditation, Rabbi Jonathan P. Slater reveals a new entrance into Jewish spiritual life. Covering the Five Books of Moses, these two volumes present accessible translations of selections from Kedushat Levi, R. Levi Yitzhak’s Hasidic Torah commentary, which emphasizes our spiritual capacity to transform consciousness and so our life experience. The selections are paired with Rabbi Slater’s commentaries to illuminate their message."
1831,Construction Scheduling: Principles and Practices (2nd Edition),"This text is a comprehensive, stand alone reference for project management scheduling. It features a unique combination of principles/fundamentals of scheduling and project management along with practical applications and tutorials of the 4 most common scheduling software programs–Microsoft Project, Primavera Project Planner (P3), SureTrak, P6 Project Manager and Contractor. Having scheduling information and software instructions in one book obviates the need for two texts, and the exercises and examples in the scheduling portion are tied to the same exercises in the software portions."
4868,"Literature and Its Writers: A Compact Introduction to Fiction, Poetry, and Drama","Literature is a conversation — between writers and other writers, and between writers and readers. In Literature and Its Writers, Ann and Samuel Charters complement a rich and varied selection of stories, poems, and plays with an unparalleled array of commentaries about that literature by the writers themselves. Such ""writer talk"" inspires students to respond as it models ways for them to enter the conversation. In the sixth edition, the Charters continue to entice students to join the conversation, with adventurous and intriguing new literary works, more detailed coverage of literary elements, and more help with reading and writing."
1940,Straight on Till Morning: The Life of Beryl Markham,"Drawing on her personal relationship with Markham and interviews with many of her contemporaries, Lovell recounts Markham's tempestuous private life--a life filled with unabated romance and adventure lived out over three continents. 50 photographs."
2491,Diagrammatica: The Path to Feynman Diagrams (Cambridge Lecture Notes in Physics),"This book provides an easily accessible introduction to quantum field theory via Feynman rules and calculations in particle physics. The aim is to make clear what the physical foundations of present-day field theory are, to clarify the physical content of Feynman rules. The book begins with a brief review of some aspects of Einstein's theory of relativity that are of particular importance for field theory, before going on to consider the relativistic quantum mechanics of free particles, interacting fields, and particles with spin. The techniques learnt in the chapters are then demonstrated in examples that might be encountered in real accelerator physics. Further chapters contain discussions of renormalization, massive and massless vector fields and unitarity. A final chapter presents concluding arguments concerning quantum electrodynamics. The book includes valuable appendices that review some essential mathematics, including complex spaces, matrices, the CBH equation, traces and dimensional regularization. An appendix containing a comprehensive summary of the rules and conventions used is followed by an appendix specifying the full Lagrangian of the Standard Model and the corresponding Feynman rules. To make the book useful for a wide audience a final appendix provides a discussion of the metric used, and an easy-to-use dictionary connecting equations written with different metrics. Written as a textbook, many diagrams, exercises and examples are included. This book will be used by beginning graduate students taking courses in particle physics or quantum field theory, as well as by researchers as a source and reference book on Feynman diagrams and rules."
15,Book of Common Prayer 1979: Large Print edition,"Available for the first time from Church Publishing, this complete, large-print edition of the 1979 Book of Common Prayer (BCP) is ideal for anyone who prefers reading larger type. The large-print BCP presents the certified Standard Book of Common Prayer and Administration of the Sacraments and Other Rites and Ceremonies of the Church together with The Psalter or Psalms of David according to use in the Episcopal Church in the United States authorized in 1979. Special features include highly readable 14-point-type size, kivar cover for long-lasting quality, and lay-flat binding for versatile hands-free use. Designed for use in pews or for personal devotion, the large-print BCP is a perfect gift book. This large print version matches the same pagination as the regular print BCP.The larger size of the book makes it a useful volume for clergy and others who read from the lectern."
3196,A Handful of Stars,"This powerful middle-grade novel from the Newbery Honor author of Rules explores a friendship between a small-town girl and the daughter of migrant workers. When Lily's blind dog, Lucky, slips his collar and runs away across the wide-open blueberry barrens of eastern Maine, it's Salma Santiago who manages to catch him. Salma, the daughter of migrant workers, is in the small town with her family for the blueberry-picking season. After their initial chance meeting, Salma and Lily bond over painting bee boxes for Lily's grandfather, and Salma's friendship transforms Lily's summer. But when Salma decides to run in the upcoming Blueberry Queen pageant, they'll have to face some tough truths about friendship and belonging. Should an outsider like Salma really participate in the pageant—and possibly win? Set amongst the blueberry barrens and by the sea, this is a gorgeous new novel by Newbery Honor author Cynthia Lord that tackles themes of prejudice and friendship, loss and love."
